"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"CANX",1.95752406630643e-13,-0.315828001387056,0.535,0.684,4.68259331901161e-09,"1","CANX"
"ACTR3",2.5424312522175e-13,0.301549919754797,0.696,0.571,6.08174979842948e-09,"1","ACTR3"
"COTL1.1",6.49991573937848e-13,0.280364045495572,0.939,0.889,1.55484484401673e-08,"1","COTL1"
"RPS11",2.07141312822432e-12,-0.289812720994172,0.915,0.949,4.95502734402541e-08,"1","RPS11"
"CMTM6",6.76701657225357e-12,0.283732500201263,0.63,0.487,1.61873803424878e-07,"1","CMTM6"
"RPS24",7.9644808729275e-12,-0.28230072468845,0.533,0.662,1.90518346961299e-07,"1","RPS24"
"TPM3.1",1.20535121336932e-11,0.277262564069003,0.833,0.784,2.88332063750075e-07,"1","TPM3"
"MAFB",1.28155561842092e-11,0.277331837944805,0.585,0.428,3.06560919482469e-07,"1","MAFB"
"PGK1.1",1.38811712079925e-11,0.267679320700258,0.717,0.583,3.3205149646639e-07,"1","PGK1"
"MT-CYB",2.089807968918e-11,0.278307714334213,0.97,0.923,4.99902964244874e-07,"1","MT-CYB"
"FAM65B",2.31201530710283e-11,0.273381147088415,0.563,0.425,5.53057181612068e-07,"1","FAM65B"
"ZFP36L2",4.79676869372289e-11,-0.28137703454216,0.454,0.595,1.14743503922545e-06,"1","ZFP36L2"
"RNF213",7.02962734023014e-11,0.2945830699923,0.722,0.612,1.68155715605645e-06,"1","RNF213"
"S100A10",7.86582416928508e-11,-0.251930705032752,0.428,0.576,1.88158379953468e-06,"1","S100A10"
"RPL23",2.82545080947269e-10,-0.253643476515999,0.622,0.759,6.75876088133962e-06,"1","RPL23"
"JAK1",2.85629603448846e-10,0.275230430191347,0.615,0.487,6.83254574409986e-06,"1","JAK1"
"ACTR2",7.85939025575718e-10,0.251375273746698,0.824,0.759,1.88004474307968e-05,"1","ACTR2"
"SAMHD1",1.86421390912356e-09,-0.264976451599428,0.796,0.868,4.45938609201446e-05,"1","SAMHD1"
"HCK",1.45586742865909e-08,0.260695483968306,0.607,0.499,0.00034825804760954,"1","HCK"
"HLA-DPB1.1",4.20960705528221e-08,-0.525062674793324,0.622,0.686,0.00100698010369406,"1","HLA-DPB1"
"S100A9.2",6.18300090879451e-88,0.790293983494777,1,0.725,1.47903564739273e-83,"2","S100A9"
"S100A8.2",4.80730858179718e-85,0.777459562879851,0.998,0.604,1.1499562858517e-80,"2","S100A8"
"FOS.1",1.11769558952186e-37,0.524087521689097,0.989,0.84,2.67363961969525e-33,"2","FOS"
"NAP1L1.2",1.99262877317666e-34,-0.759985872773439,0.407,0.656,4.76656728831589e-30,"2","NAP1L1"
"CD14.1",5.83999552797962e-31,0.42312758362231,0.783,0.478,1.39698533024801e-26,"2","CD14"
"VCAN.2",2.036137924722e-30,0.36349885589552,0.986,0.637,4.87064552972749e-26,"2","VCAN"
