"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP002.330","SeuratProject",1455,623,0.027027027027027,"Singlet","1","1"
"HIP002.331","SeuratProject",1003,658,0.405405405405405,"Singlet","3","3"
"HIP002.332","SeuratProject",1047,658,0.018018018018018,"Singlet","0","0"
"HIP002.334","SeuratProject",1156,654,0.00900900900900901,"Singlet","2","2"
"HIP002.335","SeuratProject",1206,652,0.117117117117117,"Singlet","3","3"
"HIP002.336","SeuratProject",1544,637,0.261261261261261,"Singlet","4","4"
"HIP002.337","SeuratProject",1042,650,0,"Singlet","0","0"
"HIP002.338","SeuratProject",1128,650,0.00900900900900901,"Singlet","0","0"
"HIP002.339","SeuratProject",1332,667,0.0630630630630631,"Singlet","4","4"
"HIP002.340","SeuratProject",1198,662,0,"Singlet","1","1"
"HIP002.341","SeuratProject",1346,632,0.036036036036036,"Singlet","4","4"
"HIP002.342","SeuratProject",1000,655,0,"Singlet","2","2"
"HIP002.344","SeuratProject",1160,644,0.036036036036036,"Singlet","4","4"
"HIP002.345","SeuratProject",1309,649,0,"Singlet","1","1"
"HIP002.346","SeuratProject",1547,644,0.216216216216216,"Singlet","2","2"
"HIP002.348","SeuratProject",1212,659,0.126126126126126,"Singlet","3","3"
"HIP002.349","SeuratProject",1101,642,0.198198198198198,"Singlet","2","2"
"HIP002.350","SeuratProject",1318,666,0,"Singlet","2","2"
"HIP002.351","SeuratProject",1369,652,0.261261261261261,"Singlet","13","13"
"HIP002.352","SeuratProject",1922,627,0,"Singlet","1","1"
"HIP002.353","SeuratProject",1070,678,0.225225225225225,"Singlet","7","7"
"HIP002.354","SeuratProject",1113,662,0.00900900900900901,"Singlet","2","2"
"HIP002.355","SeuratProject",1049,654,0,"Singlet","2","2"
"HIP002.356","SeuratProject",1255,649,0,"Singlet","2","2"
"HIP002.357","SeuratProject",1311,663,0.0990990990990991,"Singlet","1","1"
"HIP002.359","SeuratProject",1053,663,0.126126126126126,"Singlet","5","5"
"HIP002.360","SeuratProject",1146,649,0.00900900900900901,"Singlet","1","1"
"HIP002.361","SeuratProject",1692,648,0.0810810810810811,"Singlet","6","6"
"HIP002.362","SeuratProject",1660,659,0,"Singlet","1","1"
"HIP002.363","SeuratProject",1082,656,0,"Singlet","0","0"
"HIP002.364","SeuratProject",1078,636,0.117117117117117,"Singlet","0","0"
"HIP002.365","SeuratProject",1106,663,0.207207207207207,"Singlet","2","2"
"HIP002.366","SeuratProject",1264,647,0.153153153153153,"Singlet","3","3"
"HIP002.367","SeuratProject",1145,668,0.162162162162162,"Singlet","2","2"
"HIP002.368","SeuratProject",1240,664,0.162162162162162,"Singlet","5","5"
"HIP002.369","SeuratProject",1284,656,0.036036036036036,"Singlet","4","4"
"HIP002.370","SeuratProject",1048,662,0.027027027027027,"Singlet","2","2"
"HIP002.371","SeuratProject",1405,671,0.018018018018018,"Singlet","0","0"
"HIP002.372","SeuratProject",1428,665,0.0810810810810811,"Singlet","7","7"
"HIP002.373","SeuratProject",1006,663,0,"Singlet","2","2"
"HIP002.374","SeuratProject",1116,673,0.00900900900900901,"Singlet","1","1"
"HIP002.375","SeuratProject",1224,664,0.27027027027027,"Singlet","3","3"
"HIP002.376","SeuratProject",1396,671,0,"Singlet","1","1"
"HIP002.377","SeuratProject",1061,683,0.045045045045045,"Singlet","1","1"
"HIP002.378","SeuratProject",1375,671,0.0900900900900901,"Singlet","3","3"
"HIP002.379","SeuratProject",1139,674,0.162162162162162,"Singlet","3","3"
"HIP002.380","SeuratProject",1202,660,0.342342342342342,"Singlet","7","7"
"HIP002.381","SeuratProject",1306,630,0.198198198198198,"Singlet","2","2"
"HIP002.382","SeuratProject",1034,678,0.0720720720720721,"Singlet","4","4"
"HIP002.383","SeuratProject",1154,672,0,"Singlet","1","1"
"HIP002.384","SeuratProject",1155,670,0.117117117117117,"Singlet","2","2"
"HIP002.385","SeuratProject",1225,672,0.18018018018018,"Singlet","3","3"
"HIP002.386","SeuratProject",1225,671,0.027027027027027,"Singlet","2","2"
"HIP002.387","SeuratProject",1134,671,0.00900900900900901,"Singlet","2","2"
"HIP002.388","SeuratProject",1329,665,0.207207207207207,"Singlet","7","7"
"HIP002.389","SeuratProject",1445,655,0.027027027027027,"Singlet","0","0"
"HIP002.390","SeuratProject",1164,677,0.018018018018018,"Singlet","2","2"
"HIP002.391","SeuratProject",1360,682,0.171171171171171,"Singlet","3","3"
"HIP002.392","SeuratProject",1374,686,0.351351351351351,"Singlet","2","2"
"HIP002.393","SeuratProject",1346,663,0.0630630630630631,"Singlet","2","2"
"HIP002.394","SeuratProject",1859,682,0.027027027027027,"Singlet","4","4"
"HIP002.395","SeuratProject",1064,687,0.018018018018018,"Singlet","2","2"
"HIP002.396","SeuratProject",1270,664,0,"Singlet","2","2"
"HIP002.397","SeuratProject",1269,663,0,"Singlet","1","1"
"HIP002.398","SeuratProject",1313,674,0,"Singlet","0","0"
"HIP002.399","SeuratProject",1050,664,0.027027027027027,"Singlet","2","2"
"HIP002.400","SeuratProject",1186,678,0.00900900900900901,"Singlet","1","1"
"HIP002.401","SeuratProject",1099,557,0.00900900900900901,"Singlet","1","1"
"HIP002.402","SeuratProject",1386,674,0.00900900900900901,"Singlet","0","0"
"HIP002.403","SeuratProject",1074,674,0.045045045045045,"Singlet","4","4"
"HIP002.405","SeuratProject",1221,670,0.0810810810810811,"Singlet","2","2"
