"","orig.ident","nCount_RNA","nFeature_RNA","pANN_0.25_0.005_499","DF.classifications_0.25_0.005_499","RNA_snn_res.0.5","seurat_clusters"
"HIP045.586","SeuratProject",1042,621,0.036036036036036,"Singlet","1","1"
"HIP045.587","SeuratProject",1102,626,0.027027027027027,"Singlet","0","0"
"HIP045.588","SeuratProject",1140,624,0.027027027027027,"Singlet","0","0"
"HIP045.589","SeuratProject",1198,594,0,"Singlet","1","1"
"HIP045.590","SeuratProject",1453,623,0.0720720720720721,"Singlet","6","6"
"HIP045.591","SeuratProject",1005,627,0.018018018018018,"Singlet","0","0"
"HIP045.592","SeuratProject",1105,615,0,"Singlet","1","1"
"HIP045.593","SeuratProject",1145,620,0.036036036036036,"Singlet","0","0"
"HIP045.594","SeuratProject",1157,631,0.126126126126126,"Singlet","3","3"
"HIP045.597","SeuratProject",1234,612,0.0540540540540541,"Singlet","4","4"
"HIP045.598","SeuratProject",1273,620,0.00900900900900901,"Singlet","7","7"
"HIP045.599","SeuratProject",1018,626,0,"Singlet","1","1"
"HIP045.600","SeuratProject",1043,627,0.00900900900900901,"Singlet","0","0"
"HIP045.601","SeuratProject",1042,621,0.00900900900900901,"Singlet","2","2"
"HIP045.603","SeuratProject",1107,629,0.018018018018018,"Singlet","0","0"
"HIP045.604","SeuratProject",1113,622,0,"Singlet","1","1"
"HIP045.606","SeuratProject",1217,621,0.00900900900900901,"Singlet","1","1"
"HIP045.607","SeuratProject",1276,621,0,"Singlet","1","1"
"HIP045.608","SeuratProject",1363,622,0.027027027027027,"Singlet","2","2"
"HIP045.609","SeuratProject",1023,616,0.0720720720720721,"Singlet","6","6"
"HIP045.612","SeuratProject",1162,628,0.027027027027027,"Singlet","4","4"
"HIP045.613","SeuratProject",1580,614,0,"Singlet","0","0"
"HIP045.614","SeuratProject",1023,622,0.00900900900900901,"Singlet","0","0"
"HIP045.615","SeuratProject",1041,625,0.018018018018018,"Singlet","0","0"
"HIP045.617","SeuratProject",1028,630,0.018018018018018,"Singlet","2","2"
"HIP045.618","SeuratProject",1031,619,0.036036036036036,"Singlet","0","0"
"HIP045.620","SeuratProject",1246,609,0.00900900900900901,"Singlet","0","0"
"HIP045.621","SeuratProject",1259,620,0,"Singlet","1","1"
"HIP045.622","SeuratProject",1606,630,0,"Singlet","1","1"
"HIP045.623","SeuratProject",1075,629,0.0900900900900901,"Singlet","3","3"
"HIP045.625","SeuratProject",1279,605,0.00900900900900901,"Singlet","1","1"
"HIP045.627","SeuratProject",1018,628,0.027027027027027,"Singlet","2","2"
"HIP045.629","SeuratProject",1094,629,0.018018018018018,"Singlet","0","0"
"HIP045.631","SeuratProject",1140,633,0,"Singlet","0","0"
"HIP045.632","SeuratProject",1189,628,0.00900900900900901,"Singlet","2","2"
"HIP045.633","SeuratProject",1244,629,0.036036036036036,"Singlet","0","0"
"HIP045.636","SeuratProject",1021,637,0.027027027027027,"Singlet","1","1"
"HIP045.637","SeuratProject",1035,633,0.018018018018018,"Singlet","7","7"
"HIP045.638","SeuratProject",1053,620,0,"Singlet","1","1"
"HIP045.640","SeuratProject",1084,632,0.027027027027027,"Singlet","2","2"
"HIP045.641","SeuratProject",1111,636,0,"Singlet","0","0"
"HIP045.642","SeuratProject",1113,634,0.00900900900900901,"Singlet","2","2"
"HIP045.643","SeuratProject",1123,630,0.036036036036036,"Singlet","2","2"
"HIP045.646","SeuratProject",1241,624,0.0900900900900901,"Singlet","0","0"
"HIP045.647","SeuratProject",1276,629,0.027027027027027,"Singlet","2","2"
"HIP045.648","SeuratProject",1020,622,0.018018018018018,"Singlet","0","0"
"HIP045.649","SeuratProject",1033,619,0,"Singlet","0","0"
"HIP045.650","SeuratProject",1070,639,0.00900900900900901,"Singlet","2","2"
"HIP045.653","SeuratProject",1092,622,0.00900900900900901,"Singlet","1","1"
"HIP045.654","SeuratProject",1112,631,0.00900900900900901,"Singlet","0","0"
"HIP045.655","SeuratProject",1144,624,0,"Singlet","6","6"
"HIP045.656","SeuratProject",1165,633,0.027027027027027,"Singlet","0","0"
"HIP045.657","SeuratProject",1673,629,0.018018018018018,"Singlet","4","4"
"HIP045.658","SeuratProject",1053,634,0.018018018018018,"Singlet","1","1"
"HIP045.659","SeuratProject",1263,631,0.018018018018018,"Singlet","0","0"
"HIP045.661","SeuratProject",1661,628,0.045045045045045,"Singlet","4","4"
"HIP045.662","SeuratProject",1013,641,0.0630630630630631,"Singlet","3","3"
"HIP045.663","SeuratProject",1084,623,0,"Singlet","2","2"
"HIP045.664","SeuratProject",1088,623,0.153153153153153,"Singlet","6","6"
"HIP045.665","SeuratProject",1113,636,0.018018018018018,"Singlet","0","0"
"HIP045.667","SeuratProject",1176,618,0.189189189189189,"Singlet","6","6"
"HIP045.668","SeuratProject",1223,637,0.018018018018018,"Singlet","1","1"
"HIP045.669","SeuratProject",1227,632,0,"Singlet","1","1"
"HIP045.670","SeuratProject",1280,629,0,"Singlet","1","1"
"HIP045.671","SeuratProject",1338,629,0.0540540540540541,"Singlet","4","4"
"HIP045.673","SeuratProject",1041,625,0.00900900900900901,"Singlet","0","0"
"HIP045.675","SeuratProject",1107,633,0.018018018018018,"Singlet","0","0"
"HIP045.676","SeuratProject",1047,625,0.036036036036036,"Singlet","0","0"
"HIP045.677","SeuratProject",1088,640,0,"Singlet","1","1"
"HIP045.678","SeuratProject",1101,636,0.00900900900900901,"Singlet","2","2"
"HIP045.680","SeuratProject",1199,625,0.00900900900900901,"Singlet","2","2"
"HIP045.681","SeuratProject",1217,627,0,"Singlet","1","1"
"HIP045.682","SeuratProject",1505,618,0.0630630630630631,"Singlet","0","0"
"HIP045.683","SeuratProject",1067,637,0,"Singlet","0","0"
"HIP045.684","SeuratProject",1089,641,0.045045045045045,"Singlet","0","0"
"HIP045.685","SeuratProject",1106,642,0.117117117117117,"Singlet","3","3"
"HIP045.686","SeuratProject",1146,635,0.00900900900900901,"Singlet","1","1"
"HIP045.687","SeuratProject",1150,628,0.00900900900900901,"Singlet","0","0"
"HIP045.691","SeuratProject",1039,643,0,"Singlet","1","1"
"HIP045.692","SeuratProject",1045,635,0,"Singlet","1","1"
"HIP045.693","SeuratProject",1071,637,0.027027027027027,"Singlet","2","2"
"HIP045.694","SeuratProject",1240,641,0.00900900900900901,"Singlet","1","1"
"HIP045.695","SeuratProject",1387,629,0.162162162162162,"Singlet","6","6"
"HIP045.696","SeuratProject",1041,641,0,"Singlet","2","2"
"HIP045.697","SeuratProject",1052,632,0.018018018018018,"Singlet","1","1"
"HIP045.698","SeuratProject",1059,630,0.00900900900900901,"Singlet","0","0"
"HIP045.701","SeuratProject",1140,628,0,"Singlet","6","6"
"HIP045.702","SeuratProject",1161,638,0.00900900900900901,"Singlet","1","1"
"HIP045.703","SeuratProject",1249,638,0.027027027027027,"Singlet","0","0"
"HIP045.704","SeuratProject",1013,644,0,"Singlet","2","2"
"HIP045.705","SeuratProject",1066,640,0.0810810810810811,"Singlet","1","1"
"HIP045.706","SeuratProject",1162,644,0.0540540540540541,"Singlet","0","0"
"HIP045.707","SeuratProject",1201,639,0.108108108108108,"Singlet","0","0"
"HIP045.709","SeuratProject",1315,637,0.00900900900900901,"Singlet","6","6"
"HIP045.710","SeuratProject",1312,631,0,"Singlet","0","0"
"HIP045.712","SeuratProject",1017,639,0.00900900900900901,"Singlet","1","1"
"HIP045.713","SeuratProject",1026,643,0,"Singlet","0","0"
"HIP045.714","SeuratProject",1094,641,0.00900900900900901,"Singlet","0","0"
"HIP045.715","SeuratProject",1106,635,0,"Singlet","0","0"
"HIP045.716","SeuratProject",1125,637,0,"Singlet","1","1"
"HIP045.718","SeuratProject",1437,633,0,"Singlet","1","1"
"HIP045.719","SeuratProject",1044,643,0.027027027027027,"Singlet","0","0"
"HIP045.720","SeuratProject",1046,641,0,"Singlet","1","1"
"HIP045.721","SeuratProject",1038,628,0.0540540540540541,"Singlet","0","0"
"HIP045.722","SeuratProject",1017,645,0.00900900900900901,"Singlet","0","0"
"HIP045.723","SeuratProject",1023,632,0.018018018018018,"Singlet","0","0"
"HIP045.724","SeuratProject",1115,643,0.018018018018018,"Singlet","0","0"
"HIP045.725","SeuratProject",1284,638,0.0720720720720721,"Singlet","0","0"
"HIP045.726","SeuratProject",1311,637,0.0900900900900901,"Singlet","6","6"
"HIP045.727","SeuratProject",1323,629,0.036036036036036,"Singlet","4","4"
"HIP045.730","SeuratProject",1005,642,0.0900900900900901,"Singlet","1","1"
"HIP045.731","SeuratProject",1064,649,0.135135135135135,"Singlet","3","3"
"HIP045.733","SeuratProject",1128,634,0.018018018018018,"Singlet","0","0"
"HIP045.735","SeuratProject",1180,644,0.045045045045045,"Singlet","4","4"
"HIP045.738","SeuratProject",1044,630,0.00900900900900901,"Singlet","0","0"
"HIP045.741","SeuratProject",1097,650,0,"Singlet","0","0"
"HIP045.742","SeuratProject",1122,646,0.018018018018018,"Singlet","0","0"
"HIP045.743","SeuratProject",1480,637,0.027027027027027,"Singlet","0","0"
"HIP045.744","SeuratProject",1478,630,0.018018018018018,"Singlet","1","1"
"HIP045.745","SeuratProject",1580,634,0.0630630630630631,"Singlet","4","4"
"HIP045.747","SeuratProject",1060,632,0.00900900900900901,"Singlet","0","0"
"HIP045.748","SeuratProject",1181,645,0.027027027027027,"Singlet","2","2"
"HIP045.750","SeuratProject",1219,640,0.00900900900900901,"Singlet","1","1"
"HIP045.752","SeuratProject",1258,641,0.036036036036036,"Singlet","2","2"
"HIP045.754","SeuratProject",1520,627,0.018018018018018,"Singlet","0","0"
"HIP045.755","SeuratProject",1056,652,0,"Singlet","0","0"
"HIP045.756","SeuratProject",1064,644,0.00900900900900901,"Singlet","0","0"
"HIP045.757","SeuratProject",1060,643,0.00900900900900901,"Singlet","2","2"
"HIP045.758","SeuratProject",1078,650,0.135135135135135,"Singlet","3","3"
"HIP045.759","SeuratProject",1088,645,0,"Singlet","2","2"
"HIP045.760","SeuratProject",1104,651,0.243243243243243,"Singlet","11","11"
"HIP045.761","SeuratProject",1099,645,0,"Singlet","0","0"
"HIP045.762","SeuratProject",1151,642,0,"Singlet","1","1"
"HIP045.763","SeuratProject",1237,644,0.036036036036036,"Singlet","6","6"
"HIP045.765","SeuratProject",1256,650,0,"Singlet","2","2"
"HIP045.766","SeuratProject",1023,645,0.018018018018018,"Singlet","2","2"
"HIP045.767","SeuratProject",1002,623,0.0540540540540541,"Singlet","0","0"
"HIP045.768","SeuratProject",1099,644,0.036036036036036,"Singlet","2","2"
"HIP045.770","SeuratProject",1201,645,0.036036036036036,"Singlet","2","2"
"HIP045.771","SeuratProject",1310,654,0.018018018018018,"Singlet","2","2"
"HIP045.772","SeuratProject",1339,646,0.0630630630630631,"Singlet","4","4"
"HIP045.773","SeuratProject",1448,645,0.045045045045045,"Singlet","1","1"
"HIP045.774","SeuratProject",1144,646,0.018018018018018,"Singlet","2","2"
"HIP045.776","SeuratProject",1150,638,0,"Singlet","1","1"
"HIP045.778","SeuratProject",1176,615,0.171171171171171,"Singlet","0","0"
"HIP045.780","SeuratProject",1416,642,0.027027027027027,"Singlet","0","0"
"HIP045.782","SeuratProject",1062,654,0,"Singlet","2","2"
"HIP045.783","SeuratProject",1075,653,0.018018018018018,"Singlet","0","0"
"HIP045.786","SeuratProject",1347,641,0,"Singlet","2","2"
"HIP045.787","SeuratProject",1438,641,0.027027027027027,"Singlet","1","1"
"HIP045.788","SeuratProject",1474,637,0,"Singlet","1","1"
"HIP045.789","SeuratProject",1009,652,0.027027027027027,"Singlet","0","0"
"HIP045.790","SeuratProject",1064,642,0.027027027027027,"Singlet","0","0"
"HIP045.791","SeuratProject",1103,655,0.018018018018018,"Singlet","1","1"
"HIP045.793","SeuratProject",1048,659,0.045045045045045,"Singlet","0","0"
"HIP045.795","SeuratProject",1112,657,0.018018018018018,"Singlet","1","1"
"HIP045.797","SeuratProject",1195,650,0.018018018018018,"Singlet","0","0"
"HIP045.798","SeuratProject",1215,649,0,"Singlet","1","1"
"HIP045.799","SeuratProject",1129,639,0.00900900900900901,"Singlet","0","0"
"HIP045.800","SeuratProject",1531,651,0,"Singlet","1","1"
"HIP045.802","SeuratProject",1027,650,0,"Singlet","2","2"
"HIP045.803","SeuratProject",1204,645,0.0810810810810811,"Singlet","1","1"
"HIP045.804","SeuratProject",1248,646,0,"Singlet","0","0"
"HIP045.805","SeuratProject",1264,656,0.162162162162162,"Singlet","1","1"
"HIP045.806","SeuratProject",1360,645,0.027027027027027,"Singlet","1","1"
"HIP045.807","SeuratProject",1059,648,0.00900900900900901,"Singlet","0","0"
"HIP045.809","SeuratProject",1118,653,0.117117117117117,"Singlet","3","3"
"HIP045.810","SeuratProject",1197,656,0.045045045045045,"Singlet","1","1"
"HIP045.811","SeuratProject",1195,642,0.018018018018018,"Singlet","0","0"
"HIP045.813","SeuratProject",1383,657,0.00900900900900901,"Singlet","1","1"
"HIP045.814","SeuratProject",1103,658,0.036036036036036,"Singlet","3","3"
"HIP045.815","SeuratProject",1168,652,0,"Singlet","1","1"
"HIP045.817","SeuratProject",1210,651,0.027027027027027,"Singlet","0","0"
"HIP045.819","SeuratProject",1093,657,0.018018018018018,"Singlet","2","2"
"HIP045.821","SeuratProject",1147,655,0,"Singlet","1","1"
"HIP045.822","SeuratProject",1151,653,0.0900900900900901,"Singlet","7","7"
"HIP045.823","SeuratProject",1154,646,0.018018018018018,"Singlet","2","2"
"HIP045.824","SeuratProject",1173,645,0,"Singlet","0","0"
"HIP045.825","SeuratProject",1214,648,0.00900900900900901,"Singlet","0","0"
"HIP045.826","SeuratProject",1045,658,0,"Singlet","1","1"
"HIP045.827","SeuratProject",1059,657,0,"Singlet","0","0"
"HIP045.829","SeuratProject",1198,655,0.0810810810810811,"Singlet","4","4"
"HIP045.830","SeuratProject",1221,662,0.0540540540540541,"Singlet","2","2"
"HIP045.832","SeuratProject",1101,664,0.045045045045045,"Singlet","3","3"
"HIP045.835","SeuratProject",1230,644,0,"Singlet","0","0"
"HIP045.836","SeuratProject",1036,653,0.027027027027027,"Singlet","0","0"
"HIP045.837","SeuratProject",1062,661,0.027027027027027,"Singlet","2","2"
"HIP045.838","SeuratProject",1085,660,0.018018018018018,"Singlet","0","0"
"HIP045.840","SeuratProject",1090,663,0.036036036036036,"Singlet","1","1"
"HIP045.841","SeuratProject",1122,661,0.018018018018018,"Singlet","2","2"
"HIP045.842","SeuratProject",1151,661,0.027027027027027,"Singlet","1","1"
"HIP045.843","SeuratProject",1000,655,0.0540540540540541,"Singlet","0","0"
"HIP045.845","SeuratProject",1074,660,0,"Singlet","0","0"
"HIP045.846","SeuratProject",1108,662,0.00900900900900901,"Singlet","1","1"
"HIP045.849","SeuratProject",1247,636,0.018018018018018,"Singlet","0","0"
"HIP045.850","SeuratProject",1382,648,0.135135135135135,"Singlet","3","3"
"HIP045.851","SeuratProject",1066,669,0.027027027027027,"Singlet","3","3"
"HIP045.852","SeuratProject",1109,665,0.027027027027027,"Singlet","0","0"
"HIP045.853","SeuratProject",1194,661,0.00900900900900901,"Singlet","0","0"
"HIP045.854","SeuratProject",1230,663,0.036036036036036,"Singlet","4","4"
"HIP045.855","SeuratProject",1240,650,0.045045045045045,"Singlet","0","0"
"HIP045.857","SeuratProject",1283,643,0.135135135135135,"Singlet","0","0"
"HIP045.858","SeuratProject",1314,654,0.036036036036036,"Singlet","1","1"
"HIP045.859","SeuratProject",1923,652,0.036036036036036,"Singlet","6","6"
"HIP045.860","SeuratProject",1179,664,0,"Singlet","0","0"
"HIP045.861","SeuratProject",1211,662,0.189189189189189,"Singlet","9","9"
"HIP045.862","SeuratProject",1405,651,0.0540540540540541,"Singlet","4","4"
"HIP045.863","SeuratProject",1587,663,0,"Singlet","0","0"
"HIP045.864","SeuratProject",1106,664,0.027027027027027,"Singlet","0","0"
"HIP045.865","SeuratProject",1129,669,0.297297297297297,"Singlet","9","9"
"HIP045.866","SeuratProject",1153,661,0.018018018018018,"Singlet","1","1"
"HIP045.867","SeuratProject",1177,659,0,"Singlet","1","1"
"HIP045.868","SeuratProject",1211,659,0,"Singlet","0","0"
"HIP045.869","SeuratProject",1250,662,0.045045045045045,"Singlet","6","6"
"HIP045.871","SeuratProject",1122,663,0.00900900900900901,"Singlet","0","0"
"HIP045.872","SeuratProject",1124,663,0.0540540540540541,"Singlet","0","0"
"HIP045.875","SeuratProject",1255,669,0.00900900900900901,"Singlet","2","2"
"HIP045.876","SeuratProject",1294,663,0.144144144144144,"Singlet","13","13"
"HIP045.877","SeuratProject",1037,676,0,"Singlet","0","0"
"HIP045.879","SeuratProject",1090,649,0.00900900900900901,"Singlet","0","0"
"HIP045.880","SeuratProject",1111,667,0,"Singlet","0","0"
"HIP045.882","SeuratProject",1171,665,0.00900900900900901,"Singlet","2","2"
"HIP045.883","SeuratProject",1248,664,0.045045045045045,"Singlet","4","4"
"HIP045.884","SeuratProject",1352,669,0.0900900900900901,"Singlet","4","4"
"HIP045.885","SeuratProject",1417,653,0,"Singlet","1","1"
"HIP045.888","SeuratProject",1041,652,0.00900900900900901,"Singlet","0","0"
"HIP045.889","SeuratProject",1093,667,0.045045045045045,"Singlet","0","0"
"HIP045.893","SeuratProject",1372,660,0.027027027027027,"Singlet","1","1"
"HIP045.895","SeuratProject",1526,660,0,"Singlet","1","1"
"HIP045.896","SeuratProject",1079,670,0.225225225225225,"Singlet","0","0"
"HIP045.897","SeuratProject",1104,667,0.00900900900900901,"Singlet","1","1"
"HIP045.898","SeuratProject",1156,663,0.018018018018018,"Singlet","2","2"
"HIP045.899","SeuratProject",1193,667,0.045045045045045,"Singlet","0","0"
"HIP045.900","SeuratProject",1229,667,0,"Singlet","1","1"
"HIP045.903","SeuratProject",1326,643,0.018018018018018,"Singlet","4","4"
"HIP045.904","SeuratProject",1011,658,0.036036036036036,"Singlet","1","1"
"HIP045.908","SeuratProject",1381,671,0.018018018018018,"Singlet","1","1"
"HIP045.909","SeuratProject",1031,665,0.00900900900900901,"Singlet","0","0"
"HIP045.910","SeuratProject",1142,672,0.0900900900900901,"Singlet","3","3"
"HIP045.911","SeuratProject",1155,671,0.036036036036036,"Singlet","1","1"
"HIP045.912","SeuratProject",1154,663,0.027027027027027,"Singlet","2","2"
"HIP045.914","SeuratProject",1307,641,0.126126126126126,"Singlet","6","6"
"HIP045.915","SeuratProject",1104,674,0.018018018018018,"Singlet","3","3"
"HIP045.916","SeuratProject",1121,665,0.126126126126126,"Singlet","3","3"
"HIP045.918","SeuratProject",1220,668,0.0630630630630631,"Singlet","0","0"
"HIP045.919","SeuratProject",1241,656,0.00900900900900901,"Singlet","0","0"
"HIP045.920","SeuratProject",1254,666,0.036036036036036,"Singlet","4","4"
"HIP045.922","SeuratProject",1062,669,0,"Singlet","2","2"
"HIP045.923","SeuratProject",1139,667,0.018018018018018,"Singlet","1","1"
"HIP045.924","SeuratProject",1123,658,0.00900900900900901,"Singlet","0","0"
"HIP045.925","SeuratProject",1173,682,0.387387387387387,"Singlet","11","11"
"HIP045.926","SeuratProject",1405,669,0.018018018018018,"Singlet","1","1"
"HIP045.927","SeuratProject",1030,663,0.00900900900900901,"Singlet","0","0"
"HIP045.928","SeuratProject",1176,658,0.0540540540540541,"Singlet","1","1"
"HIP045.929","SeuratProject",1242,654,0.0810810810810811,"Singlet","6","6"
"HIP045.930","SeuratProject",1258,653,0.0540540540540541,"Singlet","0","0"
"HIP045.931","SeuratProject",1392,672,0.018018018018018,"Singlet","0","0"
"HIP045.933","SeuratProject",1149,670,0.027027027027027,"Singlet","1","1"
"HIP045.934","SeuratProject",1164,676,0,"Singlet","2","2"
"HIP045.936","SeuratProject",1184,670,0.0630630630630631,"Singlet","4","4"
"HIP045.937","SeuratProject",1229,673,0.00900900900900901,"Singlet","2","2"
"HIP045.940","SeuratProject",1019,674,0.018018018018018,"Singlet","2","2"
"HIP045.941","SeuratProject",1054,672,0.00900900900900901,"Singlet","0","0"
"HIP045.943","SeuratProject",1135,669,0,"Singlet","0","0"
"HIP045.944","SeuratProject",1274,673,0.027027027027027,"Singlet","1","1"
"HIP045.945","SeuratProject",1288,672,0.0540540540540541,"Singlet","2","2"
"HIP045.947","SeuratProject",1126,672,0.00900900900900901,"Singlet","0","0"
"HIP045.949","SeuratProject",1214,664,0,"Singlet","1","1"
"HIP045.950","SeuratProject",1226,673,0.144144144144144,"Singlet","4","4"
"HIP045.951","SeuratProject",1270,677,0.0630630630630631,"Singlet","6","6"
"HIP045.953","SeuratProject",1038,661,0,"Singlet","2","2"
"HIP045.954","SeuratProject",1078,672,0.018018018018018,"Singlet","0","0"
"HIP045.955","SeuratProject",1247,664,0,"Singlet","0","0"
"HIP045.956","SeuratProject",1265,677,0.036036036036036,"Singlet","4","4"
"HIP045.958","SeuratProject",1139,681,0.198198198198198,"Singlet","3","3"
"HIP045.959","SeuratProject",1164,680,0,"Singlet","0","0"
"HIP045.962","SeuratProject",1385,671,0.027027027027027,"Singlet","0","0"
"HIP045.963","SeuratProject",1458,663,0.00900900900900901,"Singlet","1","1"
"HIP045.964","SeuratProject",1207,673,0.00900900900900901,"Singlet","0","0"
"HIP045.965","SeuratProject",1254,666,0.00900900900900901,"Singlet","1","1"
"HIP045.966","SeuratProject",1180,684,0.0540540540540541,"Singlet","2","2"
"HIP045.967","SeuratProject",1234,679,0.027027027027027,"Singlet","1","1"
"HIP045.968","SeuratProject",1276,681,0.018018018018018,"Singlet","2","2"
"HIP045.971","SeuratProject",1152,686,0.036036036036036,"Singlet","1","1"
"HIP045.972","SeuratProject",1153,672,0.00900900900900901,"Singlet","2","2"
"HIP045.973","SeuratProject",1204,679,0.045045045045045,"Singlet","0","0"
"HIP045.974","SeuratProject",1204,680,0.0810810810810811,"Singlet","0","0"
"HIP045.975","SeuratProject",1235,685,0.018018018018018,"Singlet","1","1"
"HIP045.976","SeuratProject",1015,684,0.036036036036036,"Singlet","0","0"
"HIP045.977","SeuratProject",1099,673,0.00900900900900901,"Singlet","0","0"
"HIP045.980","SeuratProject",1243,676,0.00900900900900901,"Singlet","0","0"
"HIP045.981","SeuratProject",1286,678,0.036036036036036,"Singlet","2","2"
"HIP045.982","SeuratProject",1339,677,0.018018018018018,"Singlet","2","2"
"HIP045.983","SeuratProject",1375,665,0.00900900900900901,"Singlet","0","0"
"HIP045.985","SeuratProject",1130,682,0,"Singlet","1","1"
"HIP045.987","SeuratProject",1180,681,0,"Singlet","0","0"
"HIP045.988","SeuratProject",1264,684,0.00900900900900901,"Singlet","2","2"
"HIP045.990","SeuratProject",1118,686,0.00900900900900901,"Singlet","0","0"
"HIP045.991","SeuratProject",1160,686,0.018018018018018,"Singlet","0","0"
"HIP045.993","SeuratProject",1196,682,0.018018018018018,"Singlet","0","0"
"HIP045.994","SeuratProject",1271,685,0.018018018018018,"Singlet","0","0"
"HIP045.996","SeuratProject",1087,683,0.018018018018018,"Singlet","2","2"
"HIP045.997","SeuratProject",1159,673,0,"Singlet","0","0"
"HIP045.998","SeuratProject",1269,683,0.0720720720720721,"Singlet","3","3"
"HIP045.999","SeuratProject",1295,679,0,"Singlet","1","1"
"HIP045.1000","SeuratProject",1319,670,0.027027027027027,"Singlet","1","1"
"HIP045.1001","SeuratProject",1077,680,0.0720720720720721,"Singlet","0","0"
"HIP045.1002","SeuratProject",1091,680,0,"Singlet","0","0"
"HIP045.1003","SeuratProject",1123,688,0.018018018018018,"Singlet","2","2"
"HIP045.1004","SeuratProject",1121,682,0,"Singlet","1","1"
"HIP045.1005","SeuratProject",1159,687,0.018018018018018,"Singlet","0","0"
"HIP045.1006","SeuratProject",1226,685,0.018018018018018,"Singlet","0","0"
"HIP045.1007","SeuratProject",1240,685,0.036036036036036,"Singlet","1","1"
"HIP045.1008","SeuratProject",1329,681,0.0540540540540541,"Singlet","6","6"
"HIP045.1009","SeuratProject",1436,678,0.00900900900900901,"Singlet","4","4"
"HIP045.1010","SeuratProject",1099,689,0,"Singlet","0","0"
"HIP045.1011","SeuratProject",1145,671,0.018018018018018,"Singlet","0","0"
"HIP045.1012","SeuratProject",1190,686,0.00900900900900901,"Singlet","0","0"
"HIP045.1013","SeuratProject",1189,682,0.00900900900900901,"Singlet","2","2"
"HIP045.1014","SeuratProject",1201,683,0.027027027027027,"Singlet","4","4"
"HIP045.1015","SeuratProject",1564,688,0,"Singlet","1","1"
"HIP045.1016","SeuratProject",1028,686,0.045045045045045,"Singlet","0","0"
"HIP045.1017","SeuratProject",1276,689,0,"Singlet","2","2"
"HIP045.1018","SeuratProject",1285,677,0.018018018018018,"Singlet","0","0"
"HIP045.1021","SeuratProject",1130,681,0.036036036036036,"Singlet","1","1"
"HIP045.1022","SeuratProject",1161,678,0.00900900900900901,"Singlet","0","0"
"HIP045.1023","SeuratProject",1254,693,0.018018018018018,"Singlet","2","2"
"HIP045.1024","SeuratProject",1122,689,0.027027027027027,"Singlet","0","0"
"HIP045.1025","SeuratProject",1202,691,0.0720720720720721,"Singlet","5","5"
"HIP045.1027","SeuratProject",1080,689,0.027027027027027,"Singlet","0","0"
"HIP045.1028","SeuratProject",1125,698,0.018018018018018,"Singlet","0","0"
"HIP045.1029","SeuratProject",1174,697,0.018018018018018,"Singlet","2","2"
"HIP045.1030","SeuratProject",1197,687,0.036036036036036,"Singlet","0","0"
"HIP045.1031","SeuratProject",1204,691,0.018018018018018,"Singlet","2","2"
"HIP045.1033","SeuratProject",1265,698,0,"Singlet","2","2"
"HIP045.1034","SeuratProject",1135,694,0.207207207207207,"Singlet","11","11"
"HIP045.1035","SeuratProject",1139,692,0,"Singlet","0","0"
"HIP045.1036","SeuratProject",1188,689,0.027027027027027,"Singlet","0","0"
"HIP045.1037","SeuratProject",1193,688,0.00900900900900901,"Singlet","0","0"
"HIP045.1038","SeuratProject",1235,686,0.144144144144144,"Singlet","6","6"
"HIP045.1039","SeuratProject",1322,687,0,"Singlet","0","0"
"HIP045.1040","SeuratProject",1426,685,0.135135135135135,"Singlet","6","6"
"HIP045.1041","SeuratProject",1064,699,0.00900900900900901,"Singlet","0","0"
"HIP045.1042","SeuratProject",1107,692,0.126126126126126,"Singlet","3","3"
"HIP045.1043","SeuratProject",1197,696,0.036036036036036,"Singlet","0","0"
"HIP045.1045","SeuratProject",1275,691,0.00900900900900901,"Singlet","2","2"
"HIP045.1047","SeuratProject",1114,698,0.027027027027027,"Singlet","2","2"
"HIP045.1048","SeuratProject",1143,680,0.00900900900900901,"Singlet","1","1"
"HIP045.1050","SeuratProject",1274,696,0.018018018018018,"Singlet","0","0"
"HIP045.1051","SeuratProject",1062,690,0.0810810810810811,"Singlet","0","0"
"HIP045.1052","SeuratProject",1079,698,0.00900900900900901,"Singlet","0","0"
"HIP045.1053","SeuratProject",1235,694,0.00900900900900901,"Singlet","0","0"
"HIP045.1054","SeuratProject",1358,695,0.00900900900900901,"Singlet","2","2"
"HIP045.1055","SeuratProject",1385,701,0.0720720720720721,"Singlet","6","6"
"HIP045.1056","SeuratProject",1135,698,0.00900900900900901,"Singlet","0","0"
"HIP045.1057","SeuratProject",1252,695,0,"Singlet","1","1"
"HIP045.1058","SeuratProject",1410,663,0.018018018018018,"Singlet","0","0"
"HIP045.1059","SeuratProject",1093,689,0.045045045045045,"Singlet","0","0"
"HIP045.1060","SeuratProject",1099,685,0.018018018018018,"Singlet","0","0"
"HIP045.1061","SeuratProject",1173,701,0.018018018018018,"Singlet","8","8"
"HIP045.1062","SeuratProject",1296,699,0,"Singlet","4","4"
"HIP045.1063","SeuratProject",1312,689,0.036036036036036,"Singlet","4","4"
"HIP045.1064","SeuratProject",1342,665,0.00900900900900901,"Singlet","7","7"
"HIP045.1065","SeuratProject",1384,692,0.00900900900900901,"Singlet","2","2"
"HIP045.1066","SeuratProject",1259,703,0.00900900900900901,"Singlet","0","0"
