"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"GNPTAB",2.04308300219825e-14,0.582784727372606,0.401,0.227,5.3857711020948e-10
"SP140",2.1361319069753e-14,0.379986381201472,0.167,0.057,5.63105731997758e-10
"RPS18",2.60196917645701e-14,0.389989454389455,0.919,0.834,6.85905094605832e-10
"SRGN",2.80793901931196e-14,-0.4317525428428,0.838,0.894,7.40200804880825e-10
"ZMYND11",2.85942864406658e-14,0.353382625732557,0.209,0.081,7.53773984862392e-10
"DDX17",3.56512833292935e-14,0.446646814620815,0.793,0.631,9.39803479843506e-10
"ZC3HAV1",3.71902198294506e-14,0.484360940322615,0.446,0.256,9.80371384924148e-10
"CYLD",4.23428545368821e-14,0.458758340039705,0.534,0.329,1.11619998844675e-09
"SYNRG",4.33447397015798e-14,0.460087667154502,0.331,0.167,1.14261068327334e-09
"RPS6",5.73281907902431e-14,0.31002374504119,0.971,0.954,1.5112284374216e-09
"P2RY8",6.03302288911571e-14,0.427299446221454,0.349,0.181,1.59036516379979e-09
"SACS",6.08261212822558e-14,0.281607315625114,0.122,0.033,1.60343738312155e-09
"PLEKHA1",6.17632700913392e-14,0.290112713054832,0.122,0.033,1.62814156287779e-09
"MS4A6A",6.36132916825732e-14,-0.560112899605386,0.619,0.72,1.67690998204431e-09
"RPSA",6.37809940910124e-14,0.530968204588837,0.619,0.455,1.68133078523318e-09
"TGFBI",6.48195768960065e-14,-0.519365892503872,0.592,0.716,1.70870886655563e-09
"TRANK1",7.17781920160092e-14,0.452338632647994,0.284,0.135,1.89214491973402e-09
"ATHL1",9.26800185135881e-14,0.480506855338883,0.221,0.092,2.44313796803669e-09
"FCGRT",1.04033974846374e-13,-0.481825815942364,0.568,0.71,2.74243961092528e-09
"PDE7A",1.22385851499281e-13,0.37556336773892,0.214,0.088,3.22621343137254e-09
"PSIP1",1.32778925596125e-13,0.49130546792704,0.32,0.165,3.50018525763946e-09
"MTMR1",1.38904165415047e-13,0.277470690899778,0.149,0.048,3.66165270450606e-09
"GCC2",1.42072628925166e-13,0.442151108398107,0.351,0.184,3.74517657109630e-09
"MGAT4A",1.66001863926348e-13,0.358432680851111,0.198,0.078,4.37597513496246e-09
"CHST2",1.94122709360971e-13,0.316637391517349,0.126,0.037,5.11726874146457e-09
"SLC9A3R1",2.08855180003983e-13,0.447408149654411,0.36,0.193,5.50563140008499e-09
"MPRIP",2.2861690743588e-13,0.476080727755347,0.331,0.169,6.02657029691724e-09
"SEPT7",2.51767773155169e-13,0.48609282369998,0.55,0.365,6.63685026814342e-09
"MGEA5",3.11966709032048e-13,0.455160045195774,0.545,0.339,8.22375441679381e-09
"TXNIP",4.33316744578978e-13,0.316161565810068,0.964,0.941,1.14226627038464e-08
"RPS12",5.65575310896702e-13,0.379092956507517,0.941,0.855,1.4909130770548e-08
