"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP002.241","SeuratProject",1308,632,"H1","CD14 Monocyte","3","14",0.01445279303416,-0.0535590139587653,"S","3",1588,630,"14"
"HIP002.243","SeuratProject",1082,629,"H1","CD14 Monocyte","7","6",-0.0460537212516014,-0.0393342234481431,"G1","7",1490,628,"6"
"HIP002.244","SeuratProject",1027,635,"H1","CD16 Monocyte","5","0",-0.0499125023903458,0.0530152569951411,"G2M","5",1466,635,"0"
"HIP002.249","SeuratProject",1085,635,"H1","CD14 Monocyte","3","10",-0.0549901932527901,0.0433092661740708,"G2M","3",1478,638,"10"
"HIP002.250","SeuratProject",1166,637,"H1","CD14 Monocyte","3","15",-0.0464510774194605,0.00879976443889613,"G2M","3",1512,637,"15"
"HIP002.264","SeuratProject",1238,639,"H1","CD14 Monocyte","3","0",-0.039416284772932,-0.0363417650912212,"G1","3",1557,639,"0"
"HIP002.271","SeuratProject",1423,617,"H1","DC","11","6",-0.00238978183811969,-0.0885854644136585,"G1","11",1632,616,"6"
"HIP002.279","SeuratProject",1070,647,"H1","CD14 Monocyte","13","6",-0.0099166907124998,-0.00974096293931306,"G1","13",1430,648,"6"
"HIP002.282","SeuratProject",1063,630,"H1","CD14 Monocyte","11","5",-0.000266201987852793,0.0529583989290811,"G2M","11",1455,632,"5"
"HIP002.301","SeuratProject",1037,629,"H1","CD14 Monocyte","0","15",0.0630210209853197,0.00389018973804203,"S","0",1435,632,"15"
"HIP002.303","SeuratProject",1126,636,"H1","CD14 Monocyte","3","7",-0.0494189376577388,0.0315356513182617,"G2M","3",1494,636,"7"
"HIP002.310","SeuratProject",1046,655,"H1","CD14 Monocyte","7","6",-0.0498125378435328,-0.0875887637585351,"G1","7",1443,654,"6"
"HIP002.313","SeuratProject",1113,650,"H1","CD14 Monocyte","7","15",-0.0616255774723048,-0.0584897112854479,"G1","7",1498,652,"15"
"HIP002.318","SeuratProject",1049,659,"H1","CD14 Monocyte","3","5",0.00807013752860274,-0.100756237992649,"S","3",1449,662,"5"
"HIP002.325","SeuratProject",1126,648,"H1","CD14 Monocyte","3","5",-0.0621762782027891,0.0410612350685622,"G2M","3",1493,648,"5"
"HIP002.327","SeuratProject",1196,661,"H1","CD14 Monocyte","7","5",0.0123087141145097,-0.10427964765503,"S","7",1526,661,"5"
"HIP002.331","SeuratProject",1003,658,"H1","CD14 Monocyte","3","6",0.0120648945280611,0.0285371227434998,"G2M","3",1467,663,"6"
"HIP002.335","SeuratProject",1206,652,"H1","CD14 Monocyte","3","6",-0.0498303151161357,-0.0922345303413247,"G1","3",1541,652,"6"
"HIP002.346","SeuratProject",1547,644,"H1","CD14 Monocyte","2","14",0.0559303407899554,-0.0783033272375921,"S","2",1688,644,"14"
"HIP002.348","SeuratProject",1212,659,"H1","CD14 Monocyte","3","15",0.000757275795749468,-0.066784206595714,"S","3",1527,659,"15"
"HIP002.349","SeuratProject",1101,642,"H1","CD14 Monocyte","2","6",-0.0598280357404927,-0.0892339857909692,"G1","2",1492,644,"6"
"HIP002.353","SeuratProject",1070,678,"H1","CD14 Monocyte","7","5",0.0474743938901211,-0.00636282886754252,"S","7",1443,681,"5"
"HIP002.359","SeuratProject",1053,663,"H1","CD16 Monocyte","5","0",-0.057629549890959,-0.0473416355296074,"G1","5",1441,665,"0"
"HIP002.364","SeuratProject",1078,636,"H1","CD16 Monocyte","0","6",-0.0531352203663699,-0.0437064912619982,"G1","0",1454,639,"6"
"HIP002.366","SeuratProject",1264,647,"H1","CD14 Monocyte","3","6",0.00260537722275322,-0.0857219592373087,"S","3",1568,646,"6"
"HIP002.367","SeuratProject",1145,668,"H1","CD14 Monocyte","2","6",-0.0440943953196885,-0.0406484321422484,"G1","2",1496,668,"6"
"HIP002.368","SeuratProject",1240,664,"H1","CD16 Monocyte","5","20",-0.0593274444492491,0.00431273620704546,"G2M","5",1555,664,"20"
"HIP002.375","SeuratProject",1224,664,"H1","CD14 Monocyte","3","15",-0.000105048721743724,0.0795616400101464,"G2M","3",1556,663,"15"
"HIP002.378","SeuratProject",1375,671,"H1","CD14 Monocyte","3","13",0.00256622684420175,-0.0902206949384261,"S","3",1605,670,"13"
