"","orig.ident","nCount_RNA","nFeature_RNA","Donor","celltype","RNA_snn_res.0.5","seurat_clusters","S.Score","G2M.Score","Phase","old.ident","nCount_SCT","nFeature_SCT","SCT_snn_res.3"
"HIP044.3631","SeuratProject",2715,1328,"H5","CD16 Monocyte","5","4",0.0073908683123392,-0.0862599115104458,"S","5",2290,1325,"4"
"HIP044.3634","SeuratProject",2424,1342,"H5","CD16 Monocyte","5","0",-0.0790566222367846,-0.0552152879667019,"G1","5",2211,1342,"0"
"HIP044.3635","SeuratProject",2628,1339,"H5","CD14 Monocyte","3","11",-0.044795483065554,-0.0490721265567681,"G1","3",2270,1337,"11"
"HIP044.3636","SeuratProject",2642,1333,"H5","CD16 Monocyte","5","0",-0.0433623835073684,0.0197002976319707,"G2M","5",2275,1329,"0"
"HIP044.3639","SeuratProject",2629,1334,"H5","CD14 Monocyte","3","10",-0.0508729838283062,-0.0807539595981718,"G1","3",2248,1332,"10"
"HIP044.3642","SeuratProject",2527,1335,"H5","CD16 Monocyte","5","8",-0.0464342765727415,-0.0790356012619471,"G1","5",2235,1333,"8"
"HIP044.3644","SeuratProject",2699,1341,"H5","CD14 Monocyte","3","18",0.0149239998288549,-0.0493682662838411,"S","3",2283,1334,"18"
"HIP044.3647","SeuratProject",2384,1332,"H5","CD16 Monocyte","5","8",-0.0497605288564422,-0.0768152304438185,"G1","5",2195,1331,"8"
"HIP044.3649","SeuratProject",2577,1330,"H5","CD16 Monocyte","5","4",-0.057836534994859,-0.0248620889522628,"G1","5",2239,1326,"4"
"HIP044.3654","SeuratProject",2736,1334,"H5","CD16 Monocyte","5","7",-0.0867750416554384,-0.0364787210648891,"G1","5",2289,1330,"7"
"HIP044.3656","SeuratProject",2667,1342,"H5","CD16 Monocyte","5","0",-0.0443638412898356,0.00950656614017331,"G2M","5",2286,1338,"0"
"HIP044.3657","SeuratProject",2776,1334,"H5","CD14 Monocyte","3","10",-0.034703143339981,-0.0681397952567105,"G1","3",2296,1328,"10"
"HIP044.3665","SeuratProject",3016,1355,"H5","CD16 Monocyte","5","12",-0.0454952078705067,-0.0842362917442272,"G1","5",2253,1342,"12"
"HIP044.3670","SeuratProject",2646,1342,"H5","CD16 Monocyte","5","6",0.0767480220439272,-0.0333664285274025,"S","5",2263,1338,"6"
"HIP044.3671","SeuratProject",2589,1353,"H5","CD16 Monocyte","5","0",-0.0387640150131058,-0.0845904258098772,"G1","5",2250,1350,"0"
"HIP044.3672","SeuratProject",2610,1353,"H5","CD16 Monocyte","5","4",0.0345061941018244,0.0168892878176034,"S","5",2266,1346,"4"
"HIP044.3676","SeuratProject",2644,1333,"H5","CD16 Monocyte","10","20",-0.00204552110008321,-0.0174166487258718,"G1","10",2264,1326,"20"
"HIP044.3677","SeuratProject",2802,1358,"H5","CD14 Monocyte","3","9",-0.0608861476575887,-0.0631181303042834,"G1","3",2307,1347,"9"
"HIP044.3679","SeuratProject",2840,1356,"H5","CD14 Monocyte","3","18",-0.0128064013542585,-0.0730121448401785,"G1","3",2291,1347,"18"
"HIP044.3682","SeuratProject",2725,1353,"H5","CD14 Monocyte","3","9",-0.00046466053050491,-0.0712375328374349,"G1","3",2296,1349,"9"
"HIP044.3683","SeuratProject",2780,1359,"H5","CD14 Monocyte","3","9",-0.0203504218655132,-0.0150402533451195,"G1","3",2297,1355,"9"
"HIP044.3684","SeuratProject",2462,1359,"H5","DC","7","21",-0.0797775858371731,-0.059678493107297,"G1","7",2218,1359,"21"
"HIP044.3686","SeuratProject",2669,1358,"H5","CD16 Monocyte","5","8",0.0327235288923041,-0.0420788530414141,"S","5",2283,1358,"8"
"HIP044.3688","SeuratProject",2650,1366,"H5","CD14 Monocyte","3","10",0.0306603130994174,-0.0912206864754113,"S","3",2275,1361,"10"
"HIP044.3691","SeuratProject",2928,1370,"H5","CD14 Monocyte","3","11",0.0433757096441739,-0.101242308193447,"S","3",2261,1357,"11"
"HIP044.3692","SeuratProject",2772,1367,"H5","CD14 Monocyte","3","4",-0.0372123916514982,0.00817738766394346,"G2M","3",2306,1365,"4"
"HIP044.3693","SeuratProject",2797,1360,"H5","CD16 Monocyte","5","8",0.0180003509702144,0.0375764039856007,"G2M","5",2303,1352,"8"
"HIP044.3695","SeuratProject",2644,1364,"H5","CD16 Monocyte","5","0",-0.0520158561261904,-0.109090304356201,"G1","5",2268,1360,"0"
"HIP044.3697","SeuratProject",2806,1359,"H5","CD14 Monocyte","3","9",-0.0520366392291811,-0.0510414672874721,"G1","3",2290,1354,"9"
"HIP044.3699","SeuratProject",2508,1358,"H5","CD16 Monocyte","5","8",-0.00653487817430741,-0.0839813701425692,"G1","5",2232,1356,"8"
"HIP044.3701","SeuratProject",2914,1361,"H5","CD14 Monocyte","3","17",0.00621745505101461,-0.103350987490476,"S","3",2300,1355,"17"
"HIP044.3703","SeuratProject",2517,1364,"H5","CD16 Monocyte","5","0",-0.0472203892661504,-0.0610818961462819,"G1","5",2239,1363,"0"
"HIP044.3708","SeuratProject",2807,1373,"H5","CD14 Monocyte","3","18",0.0664878956528323,-0.0239181221358873,"S","3",2305,1365,"18"
"HIP044.3710","SeuratProject",2588,1376,"H5","CD16 Monocyte","5","0",-0.071181577906692,-0.0935670732992893,"G1","5",2260,1371,"0"
"HIP044.3712","SeuratProject",2642,1371,"H5","DC","7","5",0.0017113635807413,-0.133568520531199,"S","7",2277,1369,"5"
"HIP044.3715","SeuratProject",2841,1375,"H5","CD14 Monocyte","3","18",-0.086468108952726,0.0102527184929615,"G2M","3",2317,1369,"18"
"HIP044.3716","SeuratProject",2967,1373,"H5","CD14 Monocyte","7","11",-0.0354871973501509,-0.0874349787817036,"G1","7",2284,1368,"11"
"HIP044.3721","SeuratProject",2697,1391,"H5","CD14 Monocyte","3","17",-0.0878742710359574,-0.0504178811614986,"G1","3",2302,1385,"17"
"HIP044.3724","SeuratProject",3354,1369,"H5","CD14 Monocyte","7","7",-0.00851421522420118,-0.0947036307248474,"G1","7",2331,1336,"7"
"HIP044.3727","SeuratProject",2960,1402,"H5","CD14 Monocyte","3","11",-0.0776896573893951,-0.0541859362377029,"G1","3",2262,1384,"11"
"HIP044.3728","SeuratProject",2720,1392,"H5","CD14 Monocyte","3","9",-0.0176743456199281,-0.0541906722214699,"G1","3",2303,1388,"9"
"HIP044.3729","SeuratProject",2762,1375,"H5","CD16 Monocyte","5","7",-0.0548744438410481,0.00208570224650398,"G2M","5",2325,1371,"7"
"HIP044.3730","SeuratProject",2927,1386,"H5","CD14 Monocyte","3","12",0.0126408724115397,-0.0815864301752005,"S","3",2280,1376,"12"
"HIP044.3731","SeuratProject",2970,1396,"H5","CD14 Monocyte","3","10",-0.0952697370382399,-0.0534355901334741,"G1","3",2269,1382,"10"
"HIP044.3732","SeuratProject",2571,1401,"H5","CD14 Monocyte","7","13",0.0303515874400507,-0.117767549734721,"S","7",2263,1398,"13"
"HIP044.3733","SeuratProject",2811,1385,"H5","CD14 Monocyte","3","9",-0.0828317139742372,-0.142343290589577,"G1","3",2316,1377,"9"
"HIP044.3737","SeuratProject",2831,1401,"H5","CD14 Monocyte","7","13",-0.0486804106127197,-0.0170323950005519,"G1","7",2319,1398,"13"
"HIP044.3739","SeuratProject",2635,1408,"H5","CD16 Monocyte","5","7",0.00747539419889082,-0.0940945419173417,"S","5",2283,1405,"7"
"HIP044.3740","SeuratProject",2916,1410,"H5","CD14 Monocyte","3","10",-0.0319693650541606,-0.109204952812692,"G1","3",2304,1404,"10"
"HIP044.3742","SeuratProject",2593,1395,"H5","CD16 Monocyte","5","8",-0.0592339804306085,-0.0344656719139418,"G1","5",2272,1392,"8"
"HIP044.3743","SeuratProject",3031,1406,"H5","CD14 Monocyte","3","9",-0.0684741446853381,-0.143718336765573,"G1","3",2290,1391,"9"
"HIP044.3744","SeuratProject",2915,1407,"H5","CD14 Monocyte","3","9",-0.0333096913477625,-0.0827656708674987,"G1","3",2275,1401,"9"
"HIP044.3745","SeuratProject",2942,1407,"H5","CD14 Monocyte","3","11",-0.0521562468142308,-0.0342794093889503,"G1","3",2290,1400,"11"
"HIP044.3746","SeuratProject",2808,1411,"H5","CD16 Monocyte","5","7",-0.0455945199611948,-0.0507495485112361,"G1","5",2325,1403,"7"
"HIP044.3750","SeuratProject",2631,1409,"H5","CD16 Monocyte","5","0",-0.0376701058223028,-0.0376101621626146,"G1","5",2280,1404,"0"
"HIP044.3751","SeuratProject",2835,1413,"H5","CD16 Monocyte","5","0",-0.0646913679015683,-0.0391584382532683,"G1","5",2317,1405,"0"
"HIP044.3752","SeuratProject",2691,1417,"H5","CD16 Monocyte","5","7",-0.0599328329329687,-0.115785463267325,"G1","5",2308,1412,"7"
"HIP044.3754","SeuratProject",3389,1411,"H5","CD14 Monocyte","3","2",-0.0287256762941708,0.00230897150282977,"G2M","3",2367,1370,"2"
"HIP044.3756","SeuratProject",2358,1408,"H5","CD16 Monocyte","10","7",-0.100195758114469,-0.0213049913851589,"G1","10",2203,1408,"7"
"HIP044.3757","SeuratProject",2784,1406,"H5","CD14 Monocyte","3","12",0.0301519258908551,-0.0722738272746785,"S","3",2315,1403,"12"
"HIP044.3758","SeuratProject",3001,1412,"H5","CD16 Monocyte","5","8",-0.0420006420024532,-0.0413906594939515,"G1","5",2282,1398,"8"
"HIP044.3760","SeuratProject",2689,1417,"H5","CD14 Monocyte","3","2",0.00608274027026032,-0.0923640227738154,"S","3",2296,1411,"2"
"HIP044.3761","SeuratProject",2770,1417,"H5","CD16 Monocyte","5","20",-0.0518967921686181,-0.149927918104092,"G1","5",2310,1410,"20"
"HIP044.3762","SeuratProject",3193,1411,"H5","CD14 Monocyte","3","18",-0.0810243770754161,-0.100297142683639,"G1","3",2332,1382,"18"
"HIP044.3763","SeuratProject",2856,1423,"H5","DC","11","6",0.00729506245280928,-0.0527817058644134,"S","11",2314,1418,"6"
"HIP044.3764","SeuratProject",2680,1427,"H5","CD16 Monocyte","5","8",-0.0147004604789992,-0.0328726367195177,"G1","5",2306,1421,"8"
"HIP044.3765","SeuratProject",3019,1423,"H5","CD16 Monocyte","5","0",-0.0342533847769411,-0.0664266382651047,"G1","5",2277,1399,"0"
"HIP044.3768","SeuratProject",3152,1419,"H5","CD16 Monocyte","3","16",0.0804905285329323,-0.0270711643809289,"S","3",2278,1385,"16"
"HIP044.3771","SeuratProject",2752,1426,"H5","CD16 Monocyte","5","0",-0.0285719274987553,-0.117981269583279,"G1","5",2322,1421,"0"
"HIP044.3774","SeuratProject",2717,1427,"H5","CD14 Monocyte","7","14",0.0112112605657731,-0.0379027204205092,"S","7",2303,1424,"14"
"HIP044.3775","SeuratProject",3234,1420,"H5","CD14 Monocyte","3","9",-0.00920999277077583,-0.0163111107693997,"G1","3",2323,1395,"9"
"HIP044.3776","SeuratProject",2712,1430,"H5","CD16 Monocyte","5","0",-0.0834141963214234,-0.0308605183642867,"G1","5",2322,1427,"0"
"HIP044.3777","SeuratProject",2777,1433,"H5","CD16 Monocyte","10","7",-0.0413377396779323,-0.00929717930177379,"G1","10",2316,1431,"7"
"HIP044.3779","SeuratProject",3317,1431,"H5","CD16 Monocyte","5","0",-0.0133853447674685,-0.0550043146410386,"G1","5",2325,1400,"0"
"HIP044.3780","SeuratProject",2993,1434,"H5","CD14 Monocyte","3","18",-0.0733655622859865,-0.0581968769912444,"G1","3",2291,1419,"18"
"HIP044.3784","SeuratProject",2754,1443,"H5","CD16 Monocyte","5","8",-0.0510981987397806,-0.138024165527383,"G1","5",2338,1436,"8"
"HIP044.3786","SeuratProject",2815,1441,"H5","CD14 Monocyte","3","12",-0.0765776946686439,0.0525006168942966,"G2M","3",2306,1435,"12"
"HIP044.3787","SeuratProject",2991,1439,"H5","CD16 Monocyte","5","0",-0.0851779020118466,-0.0925942279305498,"G1","5",2284,1427,"0"
"HIP044.3791","SeuratProject",2830,1448,"H5","DC","11","6",-0.0319022787517016,-0.0565510609039991,"G1","11",2332,1444,"6"
"HIP044.3792","SeuratProject",3090,1436,"H5","CD16 Monocyte","5","0",-0.0779337033442632,-0.0915210827211449,"G1","5",2286,1421,"0"
"HIP044.3793","SeuratProject",3102,1443,"H5","CD16 Monocyte","5","8",0.0413297442491347,-0.021039766475059,"S","5",2273,1420,"8"
"HIP044.3794","SeuratProject",2846,1443,"H5","CD14 Monocyte","3","9",-0.00584869525925304,0.00930670573016501,"G2M","3",2337,1436,"9"
"HIP044.3797","SeuratProject",3138,1431,"H5","CD14 Monocyte","3","18",-0.0183591981271547,-0.0860895453114653,"G1","3",2302,1409,"18"
"HIP044.3800","SeuratProject",3093,1447,"H5","CD16 Monocyte","5","8",-0.0183668275680116,-0.0424560125487738,"G1","5",2291,1421,"8"
"HIP044.3801","SeuratProject",2821,1443,"H5","DC","11","6",-0.0452527932565939,-0.119335407260942,"G1","11",2317,1442,"6"
"HIP044.3802","SeuratProject",2948,1446,"H5","CD14 Monocyte","3","17",-0.0836513798797838,-0.082914964617177,"G1","3",2298,1435,"17"
"HIP044.3803","SeuratProject",3081,1448,"H5","CD16 Monocyte","5","0",-5.95790993324352e-05,-0.0583289113915424,"G1","5",2299,1429,"0"
"HIP044.3807","SeuratProject",3518,1448,"H5","CD16 Monocyte","5","0",-0.00919407582329708,-0.0694887319582621,"G1","5",2408,1393,"0"
"HIP044.3810","SeuratProject",3049,1460,"H5","CD14 Monocyte","3","12",-0.102597903539916,-0.11563788808929,"G1","3",2277,1441,"12"
"HIP044.3811","SeuratProject",3089,1460,"H5","CD16 Monocyte","5","4",-0.0761227839960635,0.0371528309669744,"G2M","5",2306,1439,"4"
"HIP044.3818","SeuratProject",3089,1472,"H5","CD14 Monocyte","3","12",-0.0764870984588582,-0.0544329198064469,"G1","3",2296,1458,"12"
"HIP044.3820","SeuratProject",2813,1469,"H5","DC","11","15",-0.0537323186599078,-0.0102007982883893,"G1","11",2328,1463,"15"
"HIP044.3821","SeuratProject",3009,1460,"H5","CD14 Monocyte","3","10",0.0254837799253149,-0.0720019458821836,"S","3",2292,1447,"10"
"HIP044.3824","SeuratProject",3060,1465,"H5","CD14 Monocyte","7","11",-0.0542081077373739,-0.0276925316889994,"G1","7",2308,1457,"11"
"HIP044.3825","SeuratProject",2688,1474,"H5","CD16 Monocyte","10","7",0.0341061647878863,-0.0354345629087956,"S","10",2311,1469,"7"
"HIP044.3826","SeuratProject",2890,1475,"H5","CD14 Monocyte","3","5",-0.042029733438016,-0.0915940748091695,"G1","3",2315,1464,"5"
"HIP044.3829","SeuratProject",3083,1475,"H5","CD16 Monocyte","5","0",-0.0229780407851855,-0.112641850092589,"G1","5",2303,1456,"0"
"HIP044.3830","SeuratProject",3053,1473,"H5","CD16 Monocyte","5","0",-0.0334277832007969,-0.0246195308240415,"G1","5",2264,1443,"0"
"HIP044.3832","SeuratProject",3029,1479,"H5","CD14 Monocyte","7","17",-0.0485726845946383,-0.0315737145333049,"G1","7",2315,1466,"17"
"HIP044.3833","SeuratProject",3131,1486,"H5","CD16 Monocyte","5","8",-0.0744867276462792,-0.014517424291848,"G1","5",2307,1471,"8"
"HIP044.3834","SeuratProject",2981,1463,"H5","CD14 Monocyte","3","1",-0.0781054628132546,-0.0528208724408737,"G1","3",2282,1452,"1"
"HIP044.3836","SeuratProject",2944,1480,"H5","CD16 Monocyte","10","0",0.164299308240534,-0.0502144637175968,"S","10",2326,1475,"0"
"HIP044.3837","SeuratProject",2974,1491,"H5","CD16 Monocyte","5","8",-0.0168710442154998,-0.0687045432709261,"G1","5",2278,1476,"8"
"HIP044.3842","SeuratProject",3139,1489,"H5","CD14 Monocyte","3","12",-0.0806725584447853,-0.0837215457032746,"G1","3",2308,1464,"12"
"HIP044.3846","SeuratProject",2938,1486,"H5","CD16 Monocyte","5","7",-0.102849153488475,-0.0859450806916953,"G1","5",2274,1467,"7"
"HIP044.3848","SeuratProject",4611,1477,"H5","CD14 Monocyte","3","14",-0.0247210641501623,-0.0958102129952166,"G1","3",2315,1109,"14"
"HIP044.3856","SeuratProject",2889,1503,"H5","CD16 Monocyte","5","0",-0.0977171039886959,-0.0115439422855872,"G1","5",2291,1498,"0"
"HIP044.3863","SeuratProject",2848,1507,"H5","CD14 Monocyte","7","9",-0.0930657564237717,-0.0148884358912673,"G1","7",2348,1501,"9"
"HIP044.3864","SeuratProject",3399,1506,"H5","CD16 Monocyte","5","0",0.0201546566585703,0.0887547301885766,"G2M","5",2376,1458,"0"
"HIP044.3867","SeuratProject",3029,1519,"H5","DC","11","7",-0.100909551419253,0.0313633987904448,"G2M","11",2324,1504,"7"
"HIP044.3869","SeuratProject",3747,1511,"H5","CD14 Monocyte","3","18",0.0405879036378432,-0.0616532774905447,"S","3",2454,1456,"18"
"HIP044.3872","SeuratProject",2931,1527,"H5","CD16 Monocyte","10","0",-0.0249111414593614,0.0127915829043243,"G2M","10",2319,1520,"0"
"HIP044.3877","SeuratProject",2996,1533,"H5","CD16 Monocyte","5","20",-0.0106343536886847,-0.110105572054733,"G1","5",2288,1517,"20"
"HIP044.3878","SeuratProject",3357,1527,"H5","CD14 Monocyte","3","3",0.0625473589826157,0.00586932434596329,"S","3",2386,1501,"3"
"HIP044.3879","SeuratProject",3074,1529,"H5","CD14 Monocyte","7","17",-0.0783588759771251,-0.0321204182923265,"G1","7",2309,1516,"17"
"HIP044.3881","SeuratProject",3150,1534,"H5","CD16 Monocyte","5","7",-0.0665279750911611,-0.0988618646696015,"G1","5",2322,1515,"7"
"HIP044.3882","SeuratProject",2994,1536,"H5","CD16 Monocyte","5","6",0.0225854135420225,0.0313946001973194,"G2M","5",2313,1525,"6"
"HIP044.3885","SeuratProject",3257,1537,"H5","CD16 Monocyte","10","0",0.0374320373256731,-0.0386237857942421,"S","10",2349,1516,"0"
"HIP044.3886","SeuratProject",3230,1535,"H5","CD14 Monocyte","7","13",0.0534678837454631,-0.0428114181924407,"S","7",2360,1515,"13"
"HIP044.3887","SeuratProject",3317,1544,"H5","CD16 Monocyte","5","0",-0.0312521787528952,-0.00181952684824921,"G1","5",2367,1517,"0"
"HIP044.3889","SeuratProject",4825,1538,"H5","CD16 Monocyte","5","0",-0.0407683762262153,-0.014973608410095,"G1","5",2185,1007,"0"
"HIP044.3891","SeuratProject",3671,1523,"H5","CD14 Monocyte","3","10",0.0312497958237553,-0.0604024142522993,"S","3",2459,1468,"10"
"HIP044.3893","SeuratProject",3315,1539,"H5","CD16 Monocyte","5","8",-0.050374250835583,-0.106106727909159,"G1","5",2356,1507,"8"
"HIP044.3894","SeuratProject",3385,1538,"H5","CD14 Monocyte","3","11",0.0100733937280694,-0.115677164307585,"S","3",2397,1506,"11"
"HIP044.3896","SeuratProject",3162,1541,"H5","CD16 Monocyte","5","0",-0.0861969725753603,-0.04463806674655,"G1","5",2303,1524,"0"
"HIP044.3898","SeuratProject",3270,1550,"H5","CD16 Monocyte","5","8",-0.0571119054209468,-0.111620124775689,"G1","5",2338,1524,"8"
"HIP044.3899","SeuratProject",3262,1559,"H5","CD16 Monocyte","5","4",0.044529431148062,-0.0958939971522958,"S","5",2352,1540,"4"
"HIP044.3900","SeuratProject",3585,1548,"H5","CD14 Monocyte","3","2",-0.0505842706609875,-0.0976482742239913,"G1","3",2445,1508,"2"
"HIP044.3905","SeuratProject",3272,1567,"H5","CD14 Monocyte","3","9",-0.0274641156200478,-0.159198011712678,"G1","3",2376,1545,"9"
"HIP044.3907","SeuratProject",3252,1562,"H5","CD14 Monocyte","3","3",-0.0475996079489828,-0.124303359887856,"G1","3",2358,1532,"3"
"HIP044.3908","SeuratProject",3138,1561,"H5","CD16 Monocyte","5","0",-0.0480376089192684,-0.0437376158330405,"G1","5",2317,1544,"0"
"HIP044.3910","SeuratProject",3299,1567,"H5","CD14 Monocyte","3","2",-0.0492827966183388,-0.0686774601085273,"G1","3",2374,1536,"2"
"HIP044.3912","SeuratProject",3404,1566,"H5","CD16 Monocyte","10","8",-0.0542677314937736,-0.120960291437662,"G1","10",2411,1533,"8"
"HIP044.3913","SeuratProject",3152,1567,"H5","CD14 Monocyte","7","18",0.0119460001932724,0.00480301679964884,"S","7",2345,1550,"18"
"HIP044.3916","SeuratProject",3106,1574,"H5","CD14 Monocyte","7","11",-0.0186699117842916,-0.0948593705889532,"G1","7",2343,1568,"11"
"HIP044.3917","SeuratProject",3160,1571,"H5","CD16 Monocyte","5","4",0.0186988142502152,-0.0132081773820606,"S","5",2305,1549,"4"
"HIP044.3918","SeuratProject",3424,1582,"H5","CD14 Monocyte","3","10",-0.0883376739701678,-0.113246912339402,"G1","3",2401,1542,"10"
"HIP044.3919","SeuratProject",2964,1577,"H5","CD16 Monocyte","10","7",0.00302130747744286,-0.114810437065748,"S","10",2316,1563,"7"
"HIP044.3920","SeuratProject",3099,1562,"H5","CD16 Monocyte","10","0",-0.0664408952682274,-0.00986114055693749,"G1","10",2317,1546,"0"
"HIP044.3921","SeuratProject",3456,1572,"H5","CD14 Monocyte","3","1",-0.0568687934305177,-0.130984391052723,"G1","3",2415,1530,"1"
"HIP044.3922","SeuratProject",3180,1576,"H5","CD16 Monocyte","10","7",-0.00660006779969313,-0.0478064108785787,"G1","10",2345,1552,"7"
"HIP044.3923","SeuratProject",3230,1572,"H5","CD14 Monocyte","7","17",-0.060665047687894,-0.0706576135108058,"G1","7",2370,1554,"17"
"HIP044.3924","SeuratProject",3279,1579,"H5","CD16 Monocyte","5","8",-0.0513488635614069,-0.0565075019053839,"G1","5",2359,1550,"8"
"HIP044.3925","SeuratProject",3539,1579,"H5","CD14 Monocyte","3","3",-0.0876851127335958,-0.142699317018175,"G1","3",2425,1537,"3"
"HIP044.3926","SeuratProject",3085,1567,"H5","CD16 Monocyte","5","8",-0.0559238552723614,-0.0576258926037772,"G1","5",2334,1549,"8"
"HIP044.3927","SeuratProject",3147,1579,"H5","CD16 Monocyte","10","0",0.0561463856808468,0.0114234829737259,"S","10",2345,1562,"0"
"HIP044.3928","SeuratProject",3565,1571,"H5","CD14 Monocyte","3","2",-0.0163784186453123,-0.0498237694009673,"G1","3",2474,1530,"2"
"HIP044.3929","SeuratProject",3165,1586,"H5","CD16 Monocyte","3","16",-0.0599221542317234,-0.0572434243919684,"G1","3",2337,1560,"16"
"HIP044.3930","SeuratProject",3667,1584,"H5","CD14 Monocyte","7","11",0.0346786203994232,-0.0370290500938405,"S","7",2487,1535,"11"
"HIP044.3935","SeuratProject",4476,1589,"H5","CD14 Monocyte","3","10",-0.0488492305932594,-0.0556877021193716,"G1","3",2364,1252,"10"
"HIP044.3938","SeuratProject",3049,1585,"H5","CD14 Monocyte","7","10",-0.0495815407550637,-0.0587094921033396,"G1","7",2321,1565,"10"
"HIP044.3940","SeuratProject",2907,1596,"H5","CD14 Monocyte","7","10",0.016419865848224,-0.082996378141685,"S","7",2327,1584,"10"
"HIP044.3941","SeuratProject",3805,1601,"H5","CD14 Monocyte","3","18",0.0231628918445146,-0.0888285913303644,"S","3",2464,1520,"18"
"HIP044.3942","SeuratProject",3293,1596,"H5","CD16 Monocyte","5","4",0.053391213789978,-0.121113586916212,"S","5",2356,1573,"4"
"HIP044.3943","SeuratProject",3347,1601,"H5","CD14 Monocyte","7","5",0.00286301295267447,-0.0480414146453935,"S","7",2395,1575,"5"
"HIP044.3944","SeuratProject",3214,1585,"H5","CD16 Monocyte","5","4",-0.0253875356924965,0.0266569937626724,"G2M","5",2342,1560,"4"
"HIP044.3945","SeuratProject",3131,1599,"H5","CD16 Monocyte","10","7",-0.0969367889017285,-0.0372631953369053,"G1","10",2334,1587,"7"
"HIP044.3946","SeuratProject",3445,1605,"H5","CD14 Monocyte","3","2",-0.0160489466037771,-0.13190783095906,"G1","3",2405,1567,"2"
"HIP044.3949","SeuratProject",3163,1593,"H5","CD16 Monocyte","3","13",0.0365893087196123,-0.0126566537679376,"S","3",2357,1570,"13"
"HIP044.3950","SeuratProject",3655,1600,"H5","CD14 Monocyte","3","11",-0.084463196993246,-0.0170952798589223,"G1","3",2455,1544,"11"
"HIP044.3951","SeuratProject",3843,1594,"H5","CD14 Monocyte","3","14",-0.0407885416880921,-0.0733148610013901,"G1","3",2467,1496,"14"
"HIP044.3952","SeuratProject",3173,1591,"H5","CD16 Monocyte","10","6",-0.0498271898734607,-0.00962203738068401,"G1","10",2359,1564,"6"
"HIP044.3953","SeuratProject",4114,1596,"H5","CD16 Monocyte","5","4",-0.077096326237438,-0.0545683929312835,"G1","5",2463,1437,"4"
"HIP044.3954","SeuratProject",3568,1609,"H5","CD14 Monocyte","3","17",-0.0545123308731731,-0.0755841056139403,"G1","3",2446,1565,"17"
"HIP044.3956","SeuratProject",3256,1620,"H5","CD16 Monocyte","5","12",0.0411017719737213,-0.0399048518627415,"S","5",2374,1592,"12"
"HIP044.3957","SeuratProject",3316,1606,"H5","CD16 Monocyte","5","4",-0.0309348001780071,-0.0285495774582337,"G1","5",2368,1579,"4"
"HIP044.3959","SeuratProject",3673,1619,"H5","CD16 Monocyte","5","0",-0.0494962571567195,-0.0192955841651693,"G1","5",2449,1569,"0"
"HIP044.3960","SeuratProject",3223,1618,"H5","CD16 Monocyte","10","7",0.05665936305005,-0.0297275796290851,"S","10",2351,1595,"7"
"HIP044.3961","SeuratProject",3218,1599,"H5","CD14 Monocyte","3","16",-0.0246312925773592,-0.103162277528794,"G1","3",2365,1570,"16"
"HIP044.3963","SeuratProject",3217,1618,"H5","CD16 Monocyte","10","0",0.0269014624979496,0.0141908663994192,"S","10",2374,1601,"0"
"HIP044.3964","SeuratProject",3490,1620,"H5","CD16 Monocyte","5","4",-0.0525876431184882,-0.0893677290496442,"G1","5",2428,1585,"4"
"HIP044.3965","SeuratProject",3711,1621,"H5","CD14 Monocyte","3","1",-0.0193244917049714,-0.035389559176826,"G1","3",2476,1556,"1"
"HIP044.3967","SeuratProject",3238,1631,"H5","CD14 Monocyte","3","11",-0.0410288674046506,-0.063612732324897,"G1","3",2379,1606,"11"
"HIP044.3969","SeuratProject",3348,1627,"H5","CD16 Monocyte","10","0",-0.0303139810791304,-0.00222772705716509,"G1","10",2387,1608,"0"
"HIP044.3971","SeuratProject",3766,1629,"H5","CD16 Monocyte","5","7",-0.0795203707556327,-0.0680367035785264,"G1","5",2479,1559,"7"
"HIP044.3973","SeuratProject",3479,1637,"H5","CD14 Monocyte","3","18",-0.0893023208565062,-0.129271989615506,"G1","3",2450,1605,"18"
"HIP044.3976","SeuratProject",3647,1641,"H5","DC","11","15",0.0166249326897922,-0.0609582313889913,"S","11",2494,1585,"15"
"HIP044.3979","SeuratProject",3230,1645,"H5","CD14 Monocyte","3","2",0.0231801750365622,-0.014495020268759,"S","3",2373,1620,"2"
"HIP044.3981","SeuratProject",3477,1651,"H5","CD14 Monocyte","7","10",-0.0819788243052062,-0.0723530393560922,"G1","7",2452,1613,"10"
"HIP044.3982","SeuratProject",3356,1656,"H5","CD16 Monocyte","5","8",-0.0676901717406394,-0.081539579767928,"G1","5",2408,1626,"8"
"HIP044.3983","SeuratProject",3578,1635,"H5","CD14 Monocyte","3","2",-0.0100782868268587,-0.141717015955402,"G1","3",2460,1592,"2"
"HIP044.3985","SeuratProject",3272,1655,"H5","CD16 Monocyte","10","0",0.0237431508321285,-0.0691489504528084,"S","10",2399,1637,"0"
"HIP044.3986","SeuratProject",3362,1650,"H5","CD16 Monocyte","10","20",-0.0840923419965321,-0.0713028606443012,"G1","10",2444,1631,"20"
"HIP044.3987","SeuratProject",3561,1665,"H5","CD16 Monocyte","5","0",-0.0191633213498296,-0.0956369764726283,"G1","5",2456,1624,"0"
"HIP044.3988","SeuratProject",3627,1665,"H5","CD14 Monocyte","3","12",-0.00787551794683355,-0.031370091625803,"G1","3",2473,1610,"12"
